frage,antwort,quelle_url,kategorie,stand,ist_frage
Wie funktioniert die Umstellung von Bürgerkarten auf ID Austria?,"Warum ist es notwendig, die Bürgerkarte auf ID Austria umzustellen? Die ID Austria hat am 5. Dezember 2023 die Bürgerkarte und die Handy-Signatur abgelöst und ist in Österreich der neue Standard für den elektronischen Identitätsnachweis. Bürgerkarten müssen daher auf ID Austria umgestellt werden. Bei der ersten Anmeldung nach dem 5. Dezember 2023 werden Sie automatisch durch die nötigen Schritte zur Umstellung geführt. Wie funktioniert die Umstellung und wie ändern sich dadurch die verfügbaren Funktionalitäten? Bürgerkarten (Signaturkarten mit Personenbindung) ermöglichten bislang den Zugang zu e-Government Services. Um diese Funktionen weiterhin zu nutzen, ist es nötig, die Bürgerkarte auf eine ID Austria umzustellen. Die Bürgerkarte in ihrer bisherigen Form wird nicht mehr unterstützt. Die Umstellung kann im Zuge einer Anmeldung an einer Webanwendung erfolgen. Wählen Sie dazu „Bürgerkarte umstellen“ auf der Anmeldemaske von ID Austria. Weiters können Sie diese Umstellung mittels „Signaturkarte auf ID Austria umstellen“ starten. Alternativ können Sie, wenn Sie bereits eine ID Austria nutzen, die Signaturkarte mittels „Signaturkarte hinzufügen“ als zusätzlichen 2. Authentifizierungsfaktor hinzufügen. Ich habe meine Bürgerkarte auf ID Austria umgestellt. Wie kann ich nun einen zweiten Faktor hinzufügen, z.B. ein Smartphone? Für Ihre ID Austria können zusätzliche Authentifizierungsfaktoren ( z.B. Smartphone mit der App „ID Austria“ oder FIDO-Sicherheitsschlüssel) hinzugefügt werden. Verwenden Sie dazu die Funktionen „Smartphone in der App ""ID Austria"" mit QR-Code anmelden“ oder „Neuen FIDO-Sicherheitsschlüssel verknüpfen“. Im Zuge dieser Abläufe werden Sie aufgefordert, für Ihr ID Austria Konto einen Benutzernamen und ein Signatur-Passwort festzulegen.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/buergerkarte-umstellen,hilfe-zu-ida,2026-02-23,True
Nach der Umstellung meiner Bürgerkarte habe ich eine ID Austria mit Basisfunktion erhalten. Wie kann ich diese auf eine Vollfunktion aufwerten?,"Eine Aufwertung ist zu empfehlen, weil nur bei der Vollfunktion die Möglichkeit besteht, die Gültigkeitsdauer zu verlängern. Wie Sie Ihre ID Austria (Basisfunktion) aufwerten können, hängt davon ab, ob die umgestellte Bürgerkarte ursprünglich behördlich oder nicht behördlich ausgestellt wurde (behördliche Ausstellungen werden durchgeführt von Ministerien, Land OÖ inkl. BH und Stadt Wien). Unter „Signatur-Zertifikatsdaten einsehen“ finden Sie je nachdem den Vermerk „behördlich“ oder „nicht behördlich“. Bei einer behördlichen Ausstellung wird Ihnen die Aufwertung bei Ihrer nächsten Anmeldung mit ID Austria angeboten. Halten Sie bitte dafür die Nummer Ihres aktuellen österreichischen Reisepasses oder Personalausweis bereit. Bei einer nicht-behördlichen Ausstellung muss eine behördliche Identifizierung auf einer Registrierungsbehörde durchgeführt werden. Wählen Sie dazu aus der Liste der verfügbaren Registrierungsbehörden in Österreich.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/buergerkarte-umstellen,hilfe-zu-ida,2026-02-23,True
Wie können Signaturkarten mit der ID Austria genutzt werden?,"Signaturkarten (ohne Personenbindung) ermöglichen das Signieren von Dokumenten. Diese Signaturfunktion bleibt unverändert bestehen. Wenn Sie noch keine ID Austria besitzen, können Sie die Registrierung mittels SMS-TAN und Signaturkarte oder Registrierung mittels Post- TAN und Signaturkarte durchführen. Dafür benötigen Sie kein Smartphone. Zusätzlich kann die Signaturkarte mittels „Signaturkarte hinzufügen“ als 2. Authentifizierungsfaktor zu einer bestehenden ID Austria hinzugefügt werden. Ggf. ist es notwendig dem Webbrowser Berechtigungen zu erteilen um die Verwendung der Signaturkartenumgebung zu ermöglichen. Bitte folgen Sie dazu der Anleitung „Webbrowser Berechtigung zum Zugriff auf lokales Netzwerk geben für die Verwendung der Signaturkartenumgebung“. Brauchen Sie weitere Unterstützung? Bitte kontaktieren Sie das Service Center.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/buergerkarte-umstellen,hilfe-zu-ida,2026-02-23,True
Wann hilft mir diese Anleitung?,"Wenn Sie mit Ihrer Signaturkarte unter Windows in einem Chromium-basierten Webbrowser eine ID Austria Anmeldung durchführen wollen und dabei die Fehlermeldung „Keine Signaturkartenumgebung erkannt“ erhalten, obwohl die Signaturkartenumgebung vorhanden und gestartet ist.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/buergerkarte-umstellen/webbrowser-zugriff,hilfe-zu-ida,2026-04-22,False
Problem: Fehlende Webbrowser-Berechtigung zum Zugriff auf das lokale Netzwerk,"Aufgrund einer neuen Berechtigungsanfrage für den Zugriff auf das lokale Netzwerk bei Chromium-basierten Webbrowsern – z.B. Chrome, Edge und Opera – kann auf Windows die Signaturkartenumgebung mit diesen Webbrowsern erst verwendet werden, wenn Nutzende dem Webbrowser die Verbindung der Website login.id-austria.gv.at zur Signaturkartenumgebung als lokalem Gerät explizit erlaubt haben.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/buergerkarte-umstellen/webbrowser-zugriff,hilfe-zu-ida,2026-04-22,False
Lösung: Zugriff auf lokales Netzwerk zulassen,"Hinweis: Die folgenden Abläufe gelten für den Webbrowser Chrome und können für andere Webbrowser abweichen. Um diesen Webbrowsern die Verbindung der Website login.id-austria.gv.at zur Signaturkartenumgebung als lokalem Gerät zu erlauben, gehen Sie wie folgt vor: Wählen Sie bei der Anmeldung „Anmelden mit ID Austria“. Danach klicken Sie in der Addresszeile oben auf das Icon „Websiteinformationen anzeigen“ (1) links von der Webseiten-Adresse „login.id-austria.gv.at“. Wenn hier die Einstellung „Zugriff auf lokales Netzwerk“ (2) angezeigt wird, aktivieren Sie den Zugriff und machen Sie direkt bei Schritt 5 weiter. Screenshot der „Websiteinformationen“ auf Chrome Wählen Sie nun „Website-Einstellungen“ (3) aus. Hinweis: Sie können die Website-Einstellungen für login.id-austria.gv.at auch direkt öffnen, indem Sie folgende URL in der Adresszeile eingeben: chrome://settings/content/siteDetails?site=https://login.id-austria.gv.at Erlauben Sie der Website Zugriff auf Ihr lokales Netzwerk (4). Screenshot der Website-Einstellungen für login.id-austria.gv.at auf Chrome Starten Sie die Anmeldung beim Service Provider erneut und wählen Sie „Signaturkarte“ als „Alternative Authentifizierungsmöglichkeit“: falls die Signaturkartenumgebung gestartet ist sollte sie nun zur Verfügung stehen.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/buergerkarte-umstellen/webbrowser-zugriff,hilfe-zu-ida,2026-04-22,False
Inwiefern werden datenschutzrechtliche Bestimmungen/Standards bei der ID Austria berücksichtigt?,"Die ID Austria funktioniert unter höchsten datenschutzrechtlichen Standards, d.h. sie erfüllt die rechtlichen Vorgaben der Datenschutz-Grundverordnung (EU) 2016/679 ebenso wie des österreichischen Datenschutzgesetzes (DSG) in der geltenden Fassung. Der Bericht zur ID Austria Datenschutz-Folgenabschätzung ( DSFA ) (PDF, 2 MB) steht öffentlich zum Download bereit. Sie bestimmen, welche Ihrer Daten aus bestehenden elektronischen Registern ( z.B. Zentrales Melde- oder Personenstandsregister) abgefragt sowie an Dritte weitergegeben werden. Unautorisierte Abfragen im ID Austria-System – auch etwaiger unbekannter Anwendungen – werden blockiert. Für die Datenabfrage und-weitergabe ist somit Ihr proaktives Handeln und Ihre Autorisierung erforderlich. Die ID Austria entspricht laut Bescheinigung durch Spezialistinnen und Spezialisten der EU-Mitgliedsstaaten („eIDAS Kooperationsnetz“) den höchsten Sicherheitsanforderungen auf EU-Ebene. Die Stellungnahme des eIDAS Kooperationsnetzes war die Voraussetzung für die förmliche Notifizierung des österreichischen elektronischen Identitätsnachweises (ID Austria) am 28. Februar 2022. Die Bekanntmachung erfolgte daraufhin durch die Europäische Kommission im EU-Amtsblatt (offizielles Veröffentlichungsblatt). Seit Ablauf der Übergangsfrist von maximal 12 Monaten sind die anderen EU-Mitgliedstaaten verpflichtet, die ID Austria gleichwertig mit ihren eigenen e IDs in der höchsten Sicherheitsstufe anzuerkennen. Nutzerinnen oder Nutzer der ID Austria können daher ihre ID Austria auch für Anwendungen in ganz Europa nutzen.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/datenschutz-sicherheit-und-stabilitaet,hilfe-zu-ida,2025-07-04,True
Ist das System ausfallsicher?,"Es werden umfassende Maßnahmen getroffen, um das System vor Ausfällen zu schützen. Eine 100%ige Sicherheit gibt es allerdings nicht.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/datenschutz-sicherheit-und-stabilitaet,hilfe-zu-ida,2025-07-04,True
"Was passiert, wenn ich keine Internetverbindung habe?",In diesem Fall ist die ID Austria nicht verfügbar. Die Nachweisfunktion mit der App „e Ausweise“ ist allerdings auch ohne aktive Internetverbindung verfügbar.,https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/datenschutz-sicherheit-und-stabilitaet,hilfe-zu-ida,2025-07-04,True
Werde ich durch die Datenfreigabe und deren Hinterlegung nicht „gläsern“?,"Nein. Auf die Protokollierung der Datenübermittlung erhalten ausschließlich Sie selbst Zugriff. Rufen Sie dafür die Funktion „Mein ID Austria Verwendungsverlauf“ auf. Außerdem können Sie einen Antrag auf Auskunft bei der Datenschutzbeauftragten des Bundeskanzleramtes einbringen. Für den Betreiber des ID Austria-Systems ist es aufgrund der gesetzlichen Bestimmungen und der gewählten Sicherheitsarchitektur nicht nachvollziehbar, welche Dateninhalte Sie an welche Anwendung übermitteln. Überdies werden die Daten bei der Auslieferung so abgesichert, dass sie von Unbeteiligten weder gelesen noch geändert werden können.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/datenschutz-sicherheit-und-stabilitaet,hilfe-zu-ida,2025-07-04,True
